Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Uncaria roxburghiana Korth.,-,5387,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5387,Climber,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,-,"Pink, Silver / Grey",-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Uncarina roeoesliana Rauh,-,6979,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6979,-,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,2,Yellow / Golden,-,-,-,-,-,-,-,None,None,None
Uraria crinita (L.) Desv. ex DC.,Asian Foxtail,2537,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2537,Shrub,Full Sun,Moderate Water,False,False,False,False,1.5,Purple,-,-,"Terrestrial (Grassland / Savannah/ Scrubland, Disturbed Area / Open Ground)",Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,Grey,Medium
Urceola laevigata (Juss.) D.J.Middleton & Livsh. (variegated),Kayu Rapat,4928,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4928,Climber,Full Sun,Moderate Water,False,True,False,True,10.0,White,-,-,Terrestrial,"Green, White, Patterned","Green, White",-,-,None,None,Medium
Urceolina × grandiflora (Planch. & Linden) Traub,Amazon Lily,1993,https://www.nparks.gov.sg/florafaunaweb/flora/1/9/1993,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water",False,False,False,True,-,White,-,-,-,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Coarse
Urena lobata L.,Bur mallow,5748,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5748,Shrub,Full Sun,Moderate Water,False,False,False,False,3.0,Pink,Invasive / Potentially Invasive,Butterfly-Attracting (Flower Nectar),Terrestrial,Green,-,-,-,None,None,Medium
Urena procumbens L.,梵天花,6366,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6366,Shrub,Full Sun,Moderate Water,False,False,False,False,0.8,"Pink, White",-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Urochloa maxima (Jacq.) R.D.Webster,Guinea Grass,4082,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4082,Grass or Grass-like Plant,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,Fast,None,None,None
Urophyllum arboreum (Reinw.) Korth.,Melukut,8842,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8842,Tree,Semi Shade,Moderate Water,False,True,False,False,6.5,White,-,-,"Terrestrial (Freshwater Swamp Forest, Primary Rainforest)",-,-,-,Moderate,-,-,None
Urophyllum glabrum,-,3197,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3197,Tree,Full Sun,Moderate Water,False,True,False,False,-,-,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Urophyllum hirsutum (Wight) Hook.f.,-,8856,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8856,"Shrub, Tree",Semi Shade,Moderate Water,False,True,False,False,4.0,White,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest, Coastal Forest)",-,-,-,Moderate,-,-,Medium
Utania nervosa,-,7288,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7288,Tree,Semi Shade,Moderate Water,False,True,False,False,-,Cream Yellow To White,-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Utania racemosa,False Coffee Tree,2896,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2896,Tree,"Full Sun, Semi Shade","Little Water, Moderate Water",False,True,False,False,25,White,-,-,Terrestrial,Green,-,-,Moderate,-,dark grey,None
Utania volubilis (Wall.) Sugumaran,-,8755,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8755,"Shrub, Tree","Full Sun, Semi Shade","Little Water, Moderate Water",False,True,False,False,-,-,-,-,-,-,-,-,Moderate,-,-,-
Utricularia aurea,Bladderwort,2538,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2538,Herbaceous Plant,Full Sun,Lots of Water,False,False,False,False,1.5,"Yellow / Golden, Red",-,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Fine
Utricularia gibba L.,Cone-spur Bladderwort,7306,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7306,-,Full Sun,Lots of Water,False,False,False,False,0.5,Yellow / Golden,-,-,-,-,-,-,-,None,None,None
Utricularia graminifolia,禾叶挖耳草,7310,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7310,Herbaceous Plant,"Full Sun, Semi Shade",Lots of Water,False,False,False,False,-,-,-,-,-,-,-,-,Moderate,None,None,-
Utricularia reticulata,-,7321,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7321,Herbaceous Plant,Full Sun,Lots of Water,False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Uvaria grandiflora (Lesch. ex DC.) Roxb.,Red Hot Poker,1527,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1527,"Climber, Shrub","Full Sun, Semi Shade",Moderate Water,False,True,True,True,10.0,"Orange, Red",-,"Butterfly-Attracting, Butterfly Host Plant (Leaves)","Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,-,Moderate,None,None,Medium
Uvaria hirsuta Jack,Daun Cermai,1528,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1528,Climber,Full Sun,Moderate Water,False,True,False,False,15.0,Red,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,-,Moderate,None,None,Coarse
Uvaria littoralis,-,7404,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7404,"Climber, Shrub","Full Sun, Semi Shade",Moderate Water,False,True,False,False,0.5,Red,-,-,Terrestrial,Green,-,-,-,None,None,Medium
Vaccinium corymbosum 'Bluecrop',Highbush Blueberry,8072,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8072,Shrub,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,True,False,2.4,White,-,-,-,Green,Green - Light Green,-,-,None,None,-
Vallaris glabra (L.) Kuntze,Bread Flower,1529,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1529,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,True,3.0,White,Irritant - Contact Allergy,Butterfly-Attracting,Terrestrial,Green,-,-,Moderate,Smooth,light grey,Medium
Vallaris solanacea (Roth) Kuntze,Bread Flower,6962,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6962,Climber,Full Sun,Moderate Water,False,False,False,True,-,"Cream / Off-White, White",-,-,Terrestrial,Green,-,-,-,None,None,Medium
Vanda arcuata J.J.Sm.,-,6431,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6431,Epiphyte,Semi Shade,Moderate Water,False,False,False,True,-,"Brown, Yellow / Golden",-,-,Terrestrial,-,-,-,-,None,None,Coarse
Vanda Blue Boy,-,7047,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7047,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Vanda coerulescens Griff.,小蓝万代兰,6550,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6550,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,8,"Blue, Purple",-,-,Terrestrial,-,-,-,-,None,None,Medium
Vanda dearei Rchb.f.,-,6151,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6151,Epiphyte,Semi Shade,Moderate Water,False,False,False,True,-,"Cream / Off-White, Yellow / Golden",-,-,Terrestrial,-,-,-,-,None,None,-
Vanda helvola Blume,-,6438,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6438,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,-,"Brown, Yellow / Golden",-,-,Terrestrial,Green,-,-,-,None,None,-
Vanda insignis Blume ex Lindl.,-,6439,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6439,Epiphyte,Semi Shade,Moderate Water,False,False,False,True,-,"Brown, Purple, White, Yellow / Golden, Patterned",-,-,Terrestrial,Green,-,-,-,None,None,Medium
Vanda Kriengchai Brownie,-,7055,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7055,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,-,-,-,-,-,-,-,-,-,None,None,-
Vanda lamellata Lindl.,-,5880,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5880,Climber,Semi Shade,Moderate Water,False,False,False,False,-,Yellow,-,-,Terrestrial,-,-,-,-,None,None,Coarse
Vanda limbata Bl.,-,5897,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5897,Climber,Full Sun,Moderate Water,False,False,False,False,45,Yellow Red Pink Purple,-,-,Terrestrial,-,-,-,-,None,None,Coarse
